factor,period,quantile,N_days,ann_ret,ann_vol,sharpe,max_dd,win_rate
AtrRatio_14d,OOS,Q5,600,0.0738917133152488,0.23576614998202639,0.22858121625753836,-0.2723028681051083,0.5
AtrRatio_14d,OOS,LS,600,0.07142173932994944,0.2215656722640999,0.23208351187478268,-0.20799526240989819,0.5033333333333333
Amihud,ALL,Q1,1569,-0.027975346249010657,0.14849692183201368,-0.32307300149482227,-0.509327934929062,0.5009560229445507
Amihud,ALL,Q2,1569,-0.017763522143346422,0.14917996586362584,-0.25314070776680747,-0.35808450972826167,0.5092415551306565
Amihud,ALL,Q3,1569,0.03941081784163991,0.14054074855396045,0.13811523021870878,-0.4000662114058666,0.5251752708731676
Amihud,ALL,Q4,1569,0.13199976607281605,0.12930015091809735,0.8661998093394346,-0.17053921853803566,0.5302740599107711
Amihud,ALL,Q5,1569,0.2690567720918331,0.15123182748381198,1.6468542120771001,-0.17449225726005413,0.5423836838750796
Amihud,ALL,LS,1569,0.3055400561373196,0.1707097687012693,1.6726638335325474,-0.19145991845012222,0.550031867431485
Amihud,IS,Q1,969,-0.03973007012140839,0.1575930616075013,-0.3790145931054447,-0.4328639107111427,0.4932920536635707
Amihud,IS,Q2,969,0.0046901843755793315,0.1607142168178064,-0.09526111583380725,-0.22632824612825808,0.5128998968008256
Amihud,IS,Q3,969,0.09570630398280788,0.1512547220032962,0.5005219207712276,-0.2570499061817154,0.5510835913312694
Amihud,IS,Q4,969,0.2117581681779499,0.13802773389631226,1.3892727408101944,-0.17053921853803566,0.5459236326109391
Amihud,IS,Q5,969,0.28205020931890634,0.15768469063596924,1.6618620885896604,-0.17449225726005413,0.5562435500515995
Amihud,IS,LS,969,0.3350289778517952,0.17489213993179306,1.801275791894677,-0.13611267784842873,0.5593395252837977
Amihud,OOS,Q1,600,-0.008688145406923198,0.13261282245248984,-0.21633010199448152,-0.2011951254127109,0.5133333333333333
Amihud,OOS,Q2,600,-0.05297570600782786,0.12847787370001762,-0.5680021306876427,-0.27391917693601064,0.5033333333333333
Amihud,OOS,Q3,600,-0.04548666900273379,0.12117694639308434,-0.5404218455076631,-0.2849497602043898,0.48333333333333334
Amihud,OOS,Q4,600,0.014083761606355827,0.11355572989167831,-0.05209986672876586,-0.1071094370079192,0.505
Amihud,OOS,Q5,600,0.24834873432463245,0.14030698118748183,1.627493745443122,-0.14676262028088105,0.52
Amihud,OOS,LS,600,0.25927916224351444,0.16384710072786626,1.4603808134568907,-0.19145991845012222,0.535
OvernightGap,ALL,Q1,1569,0.06395074413541835,0.20135426273415497,0.2182757073956058,-0.40359751221729945,0.5124282982791587
OvernightGap,ALL,Q2,1569,0.04518657605529497,0.1292046704776516,0.19493549236404317,-0.2747560867328138,0.5111536010197578
OvernightGap,ALL,Q3,1569,0.02420891146445525,0.11529784111781069,0.03650468580894424,-0.32947929643841833,0.51434034416826
OvernightGap,ALL,Q4,1569,0.11753779670239095,0.1254510486719578,0.7774968622019471,-0.20977578336069114,0.521351179094965
OvernightGap,ALL,Q5,1569,0.11603907134634905,0.17709660931530594,0.5422976290605281,-0.3763448174603239,0.5309114085404716
OvernightGap,ALL,LS,1569,0.04897030429763527,0.20376578595189654,0.14217452730005595,-0.5684319681653864,0.49075844486934356
OvernightGap,IS,Q1,969,0.06813719914402294,0.21060165435429382,0.22856990032491406,-0.40359751221729945,0.52218782249742
OvernightGap,IS,Q2,969,0.07624538065948361,0.14051018370358456,0.40029397995903926,-0.23463333265054787,0.5232198142414861
